englishquestion,hausaquestion,englishhausaquestion,answer,image_id
what is the colour of the pillow?,menene kalar matashin kai?,what is the colour of the matashin kai?,brown,image1222
what is the light brown object on the left side of the cup shelf in front of the wall?,menene launin ruwan kasa a gefen hagu na faifan kofin da ke gaban bango?,what is the light brown object a gefen hagu na cup shelf in front of the wall?,ladder,image239
what is the object on the floor right of the bed?,menene abun dake kasa dama na gadon?,what is the object dake kasa right of the bed?,stool,image1147
what is the object on the floor close to the room divider?,menene abinda ke kasa kusa da mai raba dakin?,what is the object on the floor kusa da room divider?,floor_mat,image683
what is present under the slide on the floor?,menene a ?ar?ashin nunin a ?asa?,enene a karkashin slide on the floor?,box,image1039
what is the colour of the floor mat?,menene kalar tabarma?,what is the colour of the tabarma?,red,image351
how many small pillows are on the bed?,kananan matashin kai nawa ne akan gado?,how many small pillows akan gado?,three,image938
what is to the opposite of the sofa?,menene akasin sofa?,menene opposite of the sofa?,table,image1234
what is beneath the laptop table?,me ke ?ar?ashin teburin kwamfutar tafi-da-gidanka?,what is a karkashin laptop table?,garbage_bin,image376
what is the colour of toaster oven?,menene kalar tanda?,menene kalar toaster oven?,black,image205
what are the objects close to the counter?,menene abubuwan da ke kusa da counter?,what are the objects a ke kusa da counter?,"sink, faucet",image143
what is above the table?,me ke sama da tebur?,what is above da tebur?,curtain,image929
what are stuck on the wall?,me ke makale a bango?,what are stuck a bango?,"photo, decorative_item",image1321
what is found below the photo?,me aka samu a kasa hoton?,me aka samu below the photo?,sofa,image1265
what is in front of the shelf?,menene a gaban shiryayye?,what is a gaban shelf?,paper_rack,image315
how many kitchen stools are in front of the kitchen counter?,Kitchen stool nawa ne a gaban counter ?in kicin?,how many kitchen stools a gaban kitchen counter?,two,image432
what is at the bottom left corner?,menene a kusurwar hagu na kasa?,menene a bottom left corner?,bed,image1093
what is on the bed?,me ke kan gado?,what is ke kan gado?,"pillow, clothes",image1046
what is beneath the shelf?,Menene a ?ar?ashin shiryayye?,what is a karkashin shelf?,carton,image502
what is on the door of the wardrobe on the left side of the blinds?,menene a ?ofar ?akin tufafi a gefen hagu na makafi?,menene a ?ofar ?akin da wardrobe on the left side of the blinds?,mirror,image441
what is right of the refridgerator?,menene hakkin na'urar firij?,menene right of the refridgerator?,microwave,image253
what is in front of the white computer?,menene a gaban farar kwamfuta?,what is a gaban farar computer?,telephone,image390
what is on the chair?,menene akan kujera?,what is akan kujera?,pillow,image1215
what is found at the left corner of the kitchen cabinet?,menene aka samu a kusurwar hagu na ?akin dafa abinci?,what is found at the left corner na ?akin dafa abinci?,sink,image902
what is the object close to the tissue rod?,menene abin da ke kusa da sandar tissue?,what is the object da ke kusa da tissue rod?,tissue,image724
what is near the wall divider?,me ke kusa da mai raba bango?,what is kusa da wall divider?,container,image1410
what is on the left side of the monitor?,menene a gefen hagu na mai duba?,what is a gefen hagu na monitor?,carton,image818
what is under the painting?,menene a ?ar?ashin zanen?,what is a karkashin painting?,sofa,image43
what is the object close to the counter?,menene abu kusa da counter?,what is the object kusa da counter?,sink,image677
what color is the bookshelf in front of wall?,wane launi ne rumbun littattafan da ke gaban bango?,what color is the bookshelf da ke gaban bango?,brown,image80
what is the big black object next to the books?,menene babban ba?ar fata kusa da littattafan?,what is the big black object kusa da books?,television,image1251
what is to the left of the sofa?,menene hagu na kujera?,menene to the left of the sofa?,cabinet,image1254
what is at the left side?,me ke gefen hagu?,what is at gefen hagu?,bed,image1151
what is the colour of the floor tile?,menene launi na tile na bene?,menene launin floor tile?,white,image760
what object is found near the sink?,Wane abu aka samu a kusa da ramin?,what object is found a kusa da sink?,bottle_of_hand_wash_liquid,image856
what is the object below the counter?,menene abin da ke ?asan tebur?,what is the object a ke ?asan counter?,cabinet,image833
how many towels are hanged?,tawul nawa aka rataye?,how many towels aka rataye?,three,image693
what are the objects on the mantel?,Menene abubuwan da ke kan teburin?,what are the objects da ke kan teburin?,"candlestick, candle",image1380
what is the object on the counter below the cabinet?,Menene abin da ke kan counter a ?asan majalisar ministoci?,what is the object on the counter a karkashin cabinet?,coffee_machine,image751
how many pillows are there?,matashin kai nawa ne?,how many pillows a wurin?,three,image1174
how many bottles are there?,kwalabe nawa ne?,how many bottles a wurin?,two,image812
how many cupboards are there?,kwanduna nawa ne?,how many cupboards a wurin?,four,image749
what is on the left side of the the night stand?,me ke gefen hagu na tsayuwar dare?,what is ke gefen hagu of the the night stand?,garbage_bin,image997
what color is the paper holder on the right side of the water spray bottle?,wanne launi mari?in takarda a gefen dama na kwalaben feshin ruwa?,what color is the paper holder a gefen dama da water spray bottle?,black,image22
how many lamps are on in this picture?,fitulu nawa ne ke kunne a wannan hoton?,how many lamps a wannan hoton?,one,image187
how many candlesticks are on the shelf of the fireplace?,sandunan fitulu nawa ne a kan shiryayyar murhu?,how many candlesticks a kan shelf of the fireplace?,two,image1380
what is on the left side of the toilet?,me ke gefen hagu na bandaki?,what is on the left side na bandaki?,garbage_bin,image680
what is the object on the floor right of the bed?,menene abun dake kasa dama na gadon?,what is the object on the floor dama da gadon?,garbage_bin,image928
what is on the comforter?,menene akan mai ta'aziyya?,what is akan comforter?,pillow,image998
what is below the frames?,abin da ke ?asa da firam?,what is da ke ?asa da frames?,sofa,image51
what color is the cabinet above the kitchen counter?,wane launi ne akwatin gidan da ke saman teburin kicin?,what color is the cabinet da ke saman kitchen counter?,brown,image577
what color are the cabinets?,wani launi ne kabad?,what launi are the cabinets?,brown,image138
what is on the table?,menene akan teburin?,what is akan teburin?,"book, remote_control",image1227
what are the colours of the sheets on the bed?,menene launukan zanen gadon akan gado?,what are the colours of the sheets akan gado?,"brown, gray",image1107
what is the colour of the pillars?,menene launin ginshi?an?,menene launin pillars?,white,image112
what is kept close on the second shelf on the rack?,menene aka ajiye kusa da shilifi na biyu akan taragon?,what is kept kusa da second shelf on the rack?,paper_holder,image25
what is the object on the hanger?,menene abin da ke kan rataye?,what is the object da ke kan hanger?,bag,image115
what is on the table?,menene akan teburin?,what is akan teburin?,"monitor, machine, paper, keyboard",image470
what is on the left side of the red colour light?,menene a gefen hagu na hasken launin ja?,what is a gefen hagu na  red colour light?,tissue_roll,image521
how many ovens are there?,tanda nawa ne?,how many ovens a wurin?,two,image793
what is on table?,menene akan tebur?,me nene  on table?,vase,image266
what at the centre of the table?,me a tsakiyar teburin?,what at the centre na teburin?,remote_control,image640
what are the things found on the cabinet?,menene abubuwan da aka samu a majalisar ministocin?,what are the things da aka samu a cabinet?,"sink, bowl, plant, kitchen_utensils",image898
what are found inside the sink?,me ake samu a cikin kwandon shara?,me ake samu inside the sink?,knife,image891
what is in front of the black wall on the right side of the projector screen?,menene a gaban ba?ar bangon da ke gefen dama na allon majigi?,what is a gaban black wall on the right side of the projector screen?,monitor,image7
what is above the tap?,menene sama da famfo?,what is sama da tap?,blinds,image834
what is on the top of the cabinet?,me ke saman majalisar ministoci?,me ke saman cabinet?,mirror,image1426
how many drawer handles are there?,Hannun aljihuna nawa ne?,how many drawer handles a anan?,twelve,image814
what is the object close to the wall behind the table?,menene abin da ke kusa da bangon bayan teburin?,what is the object da ke kusa da wall behind the table?,picture,image1373
what in on the table?,me a kan tebur?,what is akan teburin?,candelabra,image1381
how many switches on wall?,Sauye-sauye nawa akan bango?,how many switches akan bango?,two,image734
how many lamps are on the shelf?,fitulu nawa ne a kan shiryayye?,how many lamps a kan shelf?,three,image343
what are the objects found on the cabinet?,menene abubuwan da aka samu a majalisar ministocin?,what are the objects da aka samu a kan cabinet?,"bottle, toy, papers, wire",image1068
what is present on top of the bed in the wall?,menene a saman gadon a bango?,what is present on top of the bed a bango?,window,image1014
what is on the right side of the door?,me ke gefen dama na kofar?,what is on gefen dama na door?,television,image1316
what is on the right side of the tap?,menene a gefen dama na famfo?,what is a gefen dama na tap?,cup,image653
how many electric toothbrushes are there?,buroshin hakori nawa lantarki nawa ne?,how many electric buroshin hakori are there?,three,image509
what is stuck on the refridgerator?,me ya makale a kan firij?,what is stuck a kan firij?,"picture, papers",image773
how many chairs are there?,kujeru nawa ne?,how many kujeru are there?,four,image879
how many chairs are there?,kujeru nawa ne?,how many kujeru are there?,six,image550
what is the red object on the white wall behind the garbage bin?,menene jan abu akan farar bangon bayan kwandon shara?,what is the red object akan farar bangon bayan garbage bin?,fire_extinguisher,image8
what is on the wall?,me ke jikin bango?,what is ke jikin bango,spot_light,image1394
what are the objects on the table?,menene abubuwan da ke kan teburin?,what are the objects da ke kan teburin?,"cleaner, monitor, dvd_player",image63
what is in front of the bed?,me ke gaban gadon?,what is ke gaban bed?,foot_rest,image1075
what is the largest object?,menene mafi girman abu?,menene largest object?,sofa,image1241
what is on the right side?,me ke gefen dama?,what is ke gefen dama?,cabinet,image1381
what is stuck on the door?,me ya makale a kofar?,what is stuck a kofar?,mirror,image1155
what is in front of the lamp?,menene a gaban fitilar?,what is a gaban lamp?,picture,image1235
what is to the right of the bed?,me yake hannun dama na gadon?,what is yake hannun dama  of the bed?,lamp,image978
how many short chairs are there?,gajerun kujeru nawa ne?,how many short kujeru are there?,two,image1385
what is on the right side of the toilet?,me ke gefen dama na bandaki?,what is on the right side na bandaki?,sink,image503
what is on the wall?,me ke jikin bango?,what is ke jikin bango?,"paper, picture",image1062
what is at the left side of the bed?,me ke gefen hagu na gadon?,what is ke gefen hagu of the bed?,table,image1190
what is the object close to the ceiling?,menene abin da ke kusa da rufin?,what is the object da ke kusa da ceiling?,light,image1415
what is on the left most side?,menene mafi yawan gefen hagu?,what is mafi yawan gefen hagu?,crib,image944
how many drawer knobs are there?,kullin aljihu nawa ne?,how many drawer knobs a wurin?,ten,image697
what is the colour of the chart to the left of the tree?,menene launi na ginshi?i zuwa hagu na bishiyar?,what is the colour of the chart zuwa hagu na tree?,yellow,image306
what is on the bed?,me ke kan gado?,what is ke kan gado?,clothes,image1007
what is the object on the stool?,menene abin da ke kan stool?,what is the object da ke kan stool?,lamp,image982
what is the object on the on the wall above the sink?,Menene abin da ke kan bangon da ke sama da nutsewa?,what is the object on the on the wall da ke sama da sink?,mirror,image721
how many cpu are there?,CPU nawa ne?,how many cpu a anan?,two,image29
what is on the wall?,me ke jikin bango?,what is jikin bango?,picture,image863
what are stuck on the refridgerator?,me ke makale akan firiji?,what are stuck akan firij?,papers,image815
what is under the sink?,me ke karkashin ruwan wanka?,what is a karkashin sink?,garbage_bin,image408
how many pictures are there?,hotuna nawa ne?,how many hotuna are there?,three,image1432
what is the object on the floor behind the table?,menene abin da ke ?asa a bayan teburin?,what is the object on the floor a bayan teburin?,sofa,image601
how many pictures are on the wall?,hotuna nawa ne a bango?,how many pictures ne a bango?,three,image150
what is near the bottle of liquid?,menene kusa da kwalaben ruwa?,what is near the kwalaben ruwa?,jug,image135
what color is the lamp shade on the cabinet?,wane launi ne inuwar fitila akan majalisar?,what launi is the lamp shade akan cabinet?,white,image612
what is present near the window on its front?,me ke nan kusa da taga gabanta?,what is present kusa da window on its front?,table,image1023
what is the colour of the screen?,menene kalar allo?,what is the kalar screen?,green,image8
what objects are found below the storage rack?,Wadanne abubuwa ne aka samu a kasa rumbun ajiya?,what objects are found ake samu a kasa da storage rack?,"tea_kettle, container",image858
what is the object close to the wall behind the table?,menene abin da ke kusa da bangon bayan teburin?,what is the object da ke kusa da wall behind the table?,switchbox,image29
what is the object on the floor in front of the room divider?,menene abinda ke kasa a gaban mai raba dakin?,what is the object on the floor a gaban room divider?,bathtub,image739
how many lamps are there on the table?,fitilu nawa ne akan teburin?,how many lamps akan teburin?,two,image466
what is the largest object on the floor?,menene mafi girman abu a kasa?,what is the largest object a kasa?,sofa,image644
what colour is the shirt in hanger behind the coffee table?,wane kalar rigar dake cikin rataye a bayan teburin kofi?,what colour is the shirt in hanger a bayan teburin kofi?,"pink, gray",image118
what is left of chair?,me ya rage na kujera?,what is left na kujera?,basket,image581
what is found in between the beds?,me ake samu a tsakanin gadaje?,what is found a tsakanin beds?,lamp,image1117
what is the object close to the counter?,menene abu kusa da counter?,what is the object kusa da counter?,sink,image699
what is the object on the table?,menene abin da ke kan teburin?,what is the object da ke kan teburin?,tissue_box,image1337
what color is the desk drawer on the left side of the dresser?,wane launi ne babban aljihun tebur a gefen hagu na dresser?,what color is the desk drawer a gefen hagu na dresser?,white,image63
what is on the right side of the night stand?,me ke gefen dama na tsayuwar dare?,what is on gefen dama ne night stand?,cables,image1033
what is on the left side of the chair?,me ke gefen hagu na kujera?,what is on the left side of the chair?,blinds,image781
what is above the sofa?,menene sama da kujera?,what is sama da sofa?,window,image282
what is the object found in the floor on left side?,menene abin da aka samu a kasa a gefen hagu?,what is the object found in the floor a gefen hagu?,horse_toy,image1128
what is the largest object?,menene mafi girman abu?,menene largest object?,chair,image536
what is the colour of wall?,menene kalar bango?,what is the kalar bango?,white,image297
how many knobs does the oven have?,dun?ule nawa tanda ke da shi?,how many knobs does the oven ke da shie?,five,image569
what is the colour of the brick?,menene launi na bulo?,what is the launi nae brick?,white,image327
what is found in front of the window?,me aka samu a gaban taga?,what is found a gaban window?,sink,image825
what is the colour of the chair seat?,menene kalar kujerar kujera?,menene kalar chair seat?,red,image1415
what are the objects that are placed close inside the pen stand?,Menene abubuwan da aka sanya kusa a cikin madaidaicin alkalami?,what are the objects da aka sanya kusa a cikin pen stand?,"pen, pencil, scale",image11
what is hanging from the drawer?,me ke rataye a aljihun tebur?,what is hanging a aljihun tebur?,clothes,image1037
what is on the sofa?,menene akan sofa?,what is akane sofa?,pillow,image1267
what is on the bed?,me ke kan gado?,me ke on the bed?,pillow,image909
what is behind the chair on the right side?,me ke bayan kujera a gefen dama?,me ke bayan kujera on the right side?,guitar,image1294
how many drawers are open?,aljihuna nawa ne suka bude?,how many drawers suka bude?,one,image448
what is found in the right middle?,me aka samu a tsakiyar dama?,what is found a tsakiyar dama?,fireplace,image1245
what is under the shelf of the table?,abin da ke ?ar?ashin shiryayye na tebur?,what is under the shelf na tebur?,books,image112
what are stuck on the wall?,me ke makale a bango?,what are stuck a bango?,photo,image1076
what is on the shelf?,menene akan shiryayye?,what is akan shelf?,books,image299
what is on the table?,menene akan teburin?,menene akan table?,decorative_item,image626
what is the colour of the chairs?,menene kalar kujeru?,what is the colour of the kujeru?,blue,image1240
what is the colour of the lamp?,menene kalar fitilar?,what is the kalar fitilar?,"black, white",image978
what is the colour of the curtain?,menene kalar labule?,what is the kalar labule?,purple,image1341
what color is the counter?,wani launi ne counter?,what launi ne na counter?,"white, brown",image124
how many knobs are there?,kulli nawa ne?,how many knobs a nan?,eight,image808
what is hanged before the window?,me aka rataye a gaban taga?,what is hanged a gaban window?,curtain,image1379
what color is the piano?,wane launi ne piano?,what launi ne piano?,brown,image1387
what is the colour of the chair?,menene kalar kujera?,what is the kalar kujera?,"blue, yellow",image1391
what is the largest object?,menene mafi girman abu?,menene largest object?,refridgerator,image125
how many knobs are there?,kulli nawa ne?,how many knobs a nan?,four,image1358
what is the colour of the object behind the faucet?,menene launin abin da ke bayan famfo?,what is the colour of the object da ke bayan faucet?,red,image679
what is the object attached close to the ceiling?,menene abin da aka makala kusa da silin?,what is the object attached kusa da ceiling?,projector,image19
what is near the cabinet?,me ke kusa da majalisar ministoci?,what is kusa da cabinet?,door_way,image1343
what is on the night stand apart from the lamp?,Menene tsayuwar dare banda fitila?,Menene tsayuwar night stand apart from the lamp?,book,image983
what is the black colour object on the cabinet?,menene ba?ar fata abin da ke kan majalisar?,what is the black colour object da ke kan cabinet?,bag,image1130
what is to the right side of the wash basin?,menene gefen dama na kwandon wanka?,what is ao gefen dama na wash basin?,"plant, bottle_of_hand_wash_liquid",image766
what is the largest object?,menene mafi girman abu?,menene largest object?,table,image5
what is on the right side of the monitor?,menene a gefen dama na duba?,what is a gefen dama  of the monitor?,telephone,image93
what are stuck on the wall?,me ke makale a bango?,what are stuck a bango?,photo,image1173
what are the things on the cabinet?,menene abubuwa a majalisar ministocin?,what are the things akan cabinet?,candlestick,image1395
how many lamps are there?,fitilu nawa ne?,how many Fitilu are there?,four,image186
what is the colour of the sofa?,menene kalar sofa?,what is kalar sofa?,black,image1187
what are the things on the cabinet?,menene abubuwa a majalisar ministocin?,what are the things akan cabinet?,"lamp, toy",image1180
what is the object on the dark brown table?,menene abin da ke kan tebur mai duhu?,what is the object da ke kan dark brown table?,bottle_of_soap,image21
what is the object on the floor in the corner?,menene abin da ke ?asa a kusurwa?,what is the object da ke ?asa in the corner?,lamp,image148
what is to right of door?,menene hakkin kofa?,menene to right of door?,toilet,image724
what is behind the chair?,me ke bayan kujera?,what is behind the chair?,door,image639
what is the colour of the chair?,menene kalar kujera?,what is the kalar kujera?,blue,image1380
what is on the beneath the white bag?,menene a ?ar?ashin farar jakar?,what is a karkashin white bag?,laundry_basket,image1068
how many wooden stands are?,Tsawon katako nawa ne?,how many Tsawon katako are?,one,image6
what is the object above the sink close to the wall?,Menene abin da ke sama da nutsewa kusa da bango?,what is the object da ke sama da sink close to the wall?,mirror,image657
what is the colour of the towel?,menene kalar tawul?,what is the kalar tawul?,white,image664
how many objects are there on the wall?,abubuwa nawa ne a bango?,how many objects are there a bango?,one,image58
what is hanging on the rod below the sink?,menene rataye akan sanda a ?asan kwalta?,what is rataye akan rod below the sink?,towel,image663
what are the objects on the shelf?,menene abubuwan da ke kan shiryayye?,what are the objects da ke kan shelf?,books,image990
what is stuck on the wall?,me ya makale a bango?,what is stuck a bango?,photo,image1253
what is placed on the table?,abin da aka sanya a kan tebur?,what is placed a kan tebur?,utensil,image228
what is above sink?,me ke sama nutse?,what is sama da sink?,mirror,image510
what is the largest object on the desk?,menene mafi girman abu akan tebur?,what is the largest object akan tebur?,monitor,image1262
what is next to the bowl in the last shelf?,me ke kusa da kwanon da ke kan shiryayye na ?arshe?,what is next to the bowl da ke kan last shelf?,candle,image1296
what is found to the right side of the bed?,me aka samu gefen dama na gadon?,what is found to the gefen dama na bed?,window,image1141
what is around the table?,menene a kusa da tebur?,what is a kusa da table?,chair,image1394
what is behind the chair?,me ke bayan kujera?,what is a bayan kujera?,"decorative_item, lamp",image1226
what color are the stars on the pillow?,wane launi ne taurarin akan matashin kai?,what color are the stars akan matashin kai?,purple,image928
what is right of sink?,menene hakkin nutse?,menene right of sink?,toothbrush,image510
what is the object on the side table?,menene abinda ke gefen tebirin?,what is the object dake gefen tebirin?,lamp,image76
what color are the shutters?,wane launi ne masu rufewa?,wane launi ne shutters?,red,image40
what is the object close to the counter?,menene abu kusa da counter?,what is the object kusa da counter?,stove,image905
what is on the blinds?,menene akan makafi?,what is akan blinds?,curtain,image1113
what is in front of the piano?,menene a gaban piano?,what is a gaban piano?,piano_bench,image1281
how many lights are placed in the wall?,fitulu nawa aka dora akan bango?,how many lights are placed akan bang?,three,image6
what are the things on the table?,menene abubuwan da ke kan tebur?,what are the things da ke kan tebur?,"cup, paper",image1260
what is beneath the books?,menene a ?ar?ashin littattafai?,what is a karkashin books?,tissue_roll,image701
what is present on the wall near the door?,menene a bangon kusa da ?ofar?,what is present on the wall kusa da ?ofar?,light_switch,image1020
how many pictures are there on the wall?,hotuna nawa ne a bango?,how many pictures a bango?,five,image917
what are the objects on the front table?,Menene abubuwan da ke kan teburin gaba?,what are the objects da ke kan teburin gaba?,"coffee_packet, cup",image121
what is on the left side of the bed?,me ke gefen hagu na gadon?,what is ke gefen hagu of the bed?,night_stand,image938
what is to the left of the bookshelf?,menene hagu na rumbun littattafan?,menene hagu of the bookshelf?,toy_house,image1220
how many blue chairs are there around the round table?,Kujeru shudi nawa ne a kusa da teburin zagaye?,how many blue chairs are there a kusa da zagayayyen teburin ?,four,image322
what is above the flush tank?,me ke sama da tankin ruwa?,what is ke sama da flush tank?,book,image689
what is on the left side of the microwave?,menene a gefen hagu na microwave?,what is a gefen hagu na microwave?,bottle,image570
what is the object below the counter in front of the cabinet?,Menene abin da ke ?asa da counter a gaban majalisar ministocin?,what is the object below the counter a gaban cabinet?,dishwasher,image896
what is near the window?,me ke kusa da taga?,what is kusa da window?,window,image397
how many chairs are there?,kujeru nawa ne?,how many kujeru are there?,one,image1040
what is the object close to the wall above the cabinet?,menene abin da ke kusa da bangon da ke saman majalisar?,what is the object da ke kusa da wall above the cabinet?,mirror,image923
how many pillows are visible in the picture?,matashin kai nawa ake gani a hoton?,how many pillows ake iya gani a hoton?,four,image1339
what is the large object on the white wall behind the white candles?,menene babban abu akan farin bango bayan farin kyandir?,menene babban abu akan white wall behind the white candles?,mirror,image52
